vente_id,date_id,client_id,produit_id,quantite,prix_unitaire_vente,montant_total,nom_produit,categorie,prix_unitaire_produit,unite_mesure,origine,nom,prenom,genre,age,ville,statut_marital,date_complete,jour,mois,mois_nom,annee,trimestre
1,258,548,490,4,236.29,945.16,Fer À Repasser,Électroménager,192.51,Kg,États-Unis,El Fassi,Youssef,Homme,45,Kenitra,Célibataire,2018-09-15,15,9,September,2018,3
2,2001,592,878,9,199.1,1791.9,Fromage,Produits Laitiers,126.06,Litre,États-Unis,Bouzid,Laila,Femme,65,Oujda,Marié(E),2023-06-24,24,6,June,2023,2
3,2089,378,478,6,94.39,566.34,Soda,Boissons,25.28,Paquet,Espagne,Toumi,Laila,Femme,52,Rabat,Célibataire,2023-09-20,20,9,September,2023,3
4,465,957,584,3,273.61,820.83,Poulet,Viandes,121.34,Litre,France,Toumi,Youssef,Homme,19,Casablanca,Célibataire,2019-04-10,10,4,April,2019,2
5,1116,776,862,1,316.51,316.51,Makrout,Pâtisserie,71.43,Paquet,États-Unis,Toumi,Noura,Femme,62,Fès,Célibataire,2021-01-20,20,1,January,2021,1
6,268,268,881,10,75.35,753.5,Carottes,Légumes,25.39,Paquet,États-Unis,El Amrani,Laila,Femme,56,Agadir,Marié(E),2018-09-25,25,9,September,2018,3
7,1339,179,325,9,390.94,3518.46,Jus D’Orange,Boissons,38.97,Litre,Espagne,Toumi,Fatima,Femme,35,Oujda,Célibataire,2021-08-31,31,8,August,2021,3
8,198,626,151,3,288.22,864.66,Pain Au Chocolat,Pâtisserie,128.76,Paquet,États-Unis,Toumi,Mohamed,Homme,25,Casablanca,Marié(E),2018-07-17,17,7,July,2018,3
9,410,889,557,10,126.16,1261.6,Dentifrice,Hygiène,60.1,Unité,Maroc,Kabbaj,Fatima,Femme,21,Fès,Marié(E),2019-02-14,14,2,February,2019,1
10,1181,179,809,1,175.18,175.18,Café,Boissons,128.73,Paquet,Maroc,Toumi,Fatima,Femme,35,Oujda,Célibataire,2021-03-26,26,3,March,2021,1
